elapsed_ms,relative_altitude_m,speed_mps
0,0.0000,15.1000
200,0.2029,15.0381
400,0.4036,14.9763
485,0.4884,14.9500
685,0.6885,14.9040
885,0.8934,14.8579
1085,1.1093,14.8119
1285,1.3128,14.7658
1484,1.5269,14.7200
1684,1.7572,14.7700
1884,1.9712,14.8199
2084,2.1737,14.8699
2284,2.3964,14.9198
2484,2.6217,14.9698
2485,2.6228,14.9700
2685,2.8450,14.9851
2885,3.0669,15.0002
3085,3.2318,15.0153
3285,3.3516,15.0304
3485,3.5735,15.0455
3685,3.7929,15.0606
3885,4.0281,15.0757
4074,4.2807,15.0900
4274,4.5754,15.0880
4474,4.8637,15.0861
4674,5.1667,15.0841
4874,5.4474,15.0821
5074,5.7028,15.0801
5274,5.8101,15.0782
5474,6.0373,15.0762
5674,6.2576,15.0742
5874,6.4884,15.0723
6074,6.7297,15.0703
6104,6.7657,15.0700
6304,6.9484,15.0772
6504,7.1374,15.0845
6704,7.3275,15.0917
6904,7.4876,15.0990
7104,7.6478,15.1062
7304,7.7935,15.1134
7485,7.9174,15.1200
7685,8.0850,15.2020
7885,8.2622,15.2840
8085,8.4497,15.3660
8285,8.6490,15.4480
8485,8.8600,15.5300
8685,9.1543,15.5200
8885,9.4511,15.5100
9085,9.7352,15.5000
9285,10.0227,15.4900
9485,10.3025,15.4800
9486,10.3038,15.4800
12486,13.3314,15.4300
12686,13.5465,15.4400
12886,13.7204,15.4500
13086,13.9016,15.4600
13286,14.0813,15.4700
13485,14.2764,15.4800
13685,14.4657,15.4600
13885,14.6379,15.4400
14085,14.8278,15.4199
14285,15.0348,15.3999
14484,15.2421,15.3800
14684,15.4479,15.3640
14884,15.6454,15.3480
15084,15.9191,15.3320
15284,16.1931,15.3160
15484,16.4702,15.3000
15684,16.7415,15.2955
15884,17.0065,15.2911
16084,17.2749,15.2866
16284,17.4445,15.2822
16484,17.5551,15.2777
16684,17.7938,15.2732
16884,18.0311,15.2688
17084,18.2521,15.2643
17277,18.4500,15.2600
22336,23.6938,14.9000
22536,23.9608,14.8669
22736,24.2225,14.8338
22936,24.4605,14.8007
23136,24.6708,14.7676
23336,24.8821,14.7345
23484,25.0481,14.7100
23684,25.2885,14.6541
23884,25.5382,14.5981
24084,25.7960,14.5422
24284,26.1348,14.4862
24484,26.4503,14.4303
24485,26.4518,14.4300
24685,26.7370,14.3817
24885,27.0014,14.3334
25085,27.2460,14.2851
25285,27.4857,14.2368
25485,27.6188,14.1885
25685,27.7933,14.1402
25885,28.0298,14.0919
26085,28.2712,14.0436
26285,28.5106,13.9954
26390,28.6307,13.9700
31398,33.5611,14.5100
36391,37.1263,15.5700
36591,37.2362,15.5653
36791,37.3512,15.5605
36991,37.4711,15.5558
37191,37.6008,15.5511
37391,37.7313,15.5464
37591,37.7792,15.5416
37791,37.8843,15.5369
37991,38.0456,15.5322
38191,38.2108,15.5274
38391,38.3430,15.5227
38506,38.4113,15.5200
38706,38.5433,15.5425
38906,38.7244,15.5649
39106,38.8931,15.5874
39306,39.0532,15.6099
39485,39.1939,15.6300
39685,39.2211,15.6300
39885,39.3131,15.6300
40085,39.4077,15.6300
40285,39.4930,15.6300
40485,39.5743,15.6300
40685,39.6452,15.6300
40885,39.7158,15.6300
41085,39.7947,15.6300
41285,39.8743,15.6300
41485,39.9586,15.6300
41486,39.9589,15.6300
45044,41.5052,15.2100
45244,41.6616,15.2453
45444,41.8189,15.2807
45644,41.9194,15.3160
45844,41.9819,15.3513
46044,42.0710,15.3867
46244,42.1596,15.4220
46444,42.2576,15.4573
46629,42.3248,15.4900
46829,42.3875,15.5367
47029,42.4631,15.5835
47229,42.4622,15.6302
47429,42.4207,15.6769
47485,42.4119,15.6900
47685,42.4131,15.7761
47885,42.4381,15.8622
48085,42.4529,15.9483
48285,42.4512,16.0343
48484,42.4721,16.1200
48684,42.5021,16.2399
48884,42.5591,16.3598
49084,42.6217,16.4796
49284,42.6797,16.5995
49484,42.7585,16.7194
49485,42.7589,16.7200
49685,42.8496,16.7240
49885,42.9345,16.7280
50085,43.0324,16.7320
50285,43.1353,16.7360
50484,43.2386,16.7400
50684,43.3314,16.6821
50884,43.4335,16.6241
51084,43.5432,16.5662
51284,43.6352,16.5082
51484,43.7066,16.4503
51485,43.7070,16.4500
51685,43.7207,16.5144
51885,43.6986,16.5788
52085,43.7065,16.6432
52285,43.7174,16.7076
52485,43.7196,16.7720
52685,43.7160,16.8365
52696,43.7155,16.8400
57703,44.5846,17.9600
62695,47.0103,18.2100
62895,47.0601,18.2137
63095,47.1192,18.2174
63295,47.1844,18.2211
63495,47.2526,18.2248
63695,47.3027,18.2285
63778,47.3112,18.2300
63978,47.3207,18.2865
64178,47.3568,18.3430
64378,47.3827,18.3995
64486,47.3625,18.4300
64686,47.3109,18.5041
64886,47.3036,18.5781
65086,47.3339,18.6522
65286,47.3604,18.7263
65485,47.3939,18.8000
65685,47.4319,18.8180
65885,47.4703,18.8360
66085,47.5334,18.8540
66285,47.6181,18.8720
66485,47.7219,18.8900
66685,47.8855,18.8620
66885,48.0123,18.8339
67085,48.1035,18.8059
67285,48.1863,18.7779
67484,48.2847,18.7500
67684,48.3655,18.7457
67884,48.4020,18.7413
68084,48.4323,18.7370
68284,48.5043,18.7326
68484,48.5750,18.7283
68684,48.6785,18.7239
68865,48.7722,18.7200
69065,48.8604,18.6914
69265,48.9389,18.6629
69465,48.9627,18.6343
69665,48.9985,18.6058
69865,49.0393,18.5772
70065,49.0554,18.5487
70265,49.1071,18.5201
70465,49.1589,18.4915
70665,49.2143,18.4630
70865,49.2805,18.4344
70896,49.2906,18.4300
71096,49.3598,18.4334
71296,49.4268,18.4368
71486,49.4681,18.4400
71686,49.4907,18.4020
71886,49.5167,18.3639
72086,49.5500,18.3259
72286,49.5907,18.2878
72485,49.6254,18.2500
72685,49.6717,18.2140
72885,49.7214,18.1780
73085,49.7763,18.1420
73285,49.8255,18.1060
73485,49.8638,18.0700
73685,49.9024,18.0100
73885,49.9493,17.9500
74085,49.9903,17.8900
74285,50.0316,17.8300
74485,50.0873,17.7700
74685,50.0746,17.8080
74885,50.0563,17.8461
75085,50.0307,17.8841
75285,49.9937,17.9222
75484,49.9593,17.9600
75684,49.9745,17.9740
75884,49.9922,17.9880
76084,50.0162,18.0020
76284,50.0514,18.0159
76484,50.0921,18.0299
76485,50.0923,18.0300
76685,50.1241,17.9940
76885,50.1405,17.9579
77085,50.1545,17.9219
77285,50.1705,17.8859
77484,50.1833,17.8500
77684,50.1886,17.8500
77884,50.1993,17.8500
78084,50.2262,17.8500
78284,50.2560,17.8500
78484,50.2856,17.8500
78684,50.3030,17.9119
78884,50.3164,17.9739
79084,50.3183,18.0358
79284,50.3144,18.0978
79484,50.3121,18.1597
79485,50.3121,18.1600
79685,50.3131,18.1880
79885,50.3110,18.2160
80085,50.3098,18.2440
80285,50.2974,18.2720
80485,50.2733,18.3000
80685,50.2639,18.2980
80885,50.2531,18.2960
81085,50.2339,18.2940
81285,50.2131,18.2920
81484,50.1795,18.2900
81684,50.1192,18.3999
81884,50.0667,18.5098
82084,49.9909,18.6197
82284,49.9074,18.7296
82484,49.8218,18.8395
82485,49.8213,18.8400
82685,49.7322,18.8300
82885,49.6434,18.8200
83085,49.5535,18.8100
83285,49.4578,18.8000
83485,49.3583,18.7900
83685,49.2816,18.6180
83885,49.1908,18.4460
84085,49.0879,18.2740
84285,48.9811,18.1020
84485,48.8716,17.9300
84685,48.7419,17.6978
84885,48.6073,17.4655
85085,48.4894,17.2333
85285,48.3562,17.0011
85484,48.2078,16.7700
85684,48.0502,16.5722
85884,47.9079,16.3744
86084,47.7756,16.1766
86284,47.6436,15.9788
86484,47.5005,15.7810
86485,47.4998,15.7800
86685,47.3616,15.7740
86885,47.2079,15.7680
87085,47.0442,15.7620
87285,46.8852,15.7560
87484,46.7346,15.7500
87684,46.5816,15.9138
87884,46.4487,16.0777
88084,46.3344,16.2415
88284,46.2478,16.4053
88484,46.1781,16.5692
88485,46.1778,16.5700
88685,46.1136,16.4020
88885,46.0455,16.2340
89085,46.0000,16.0660
89285,45.9810,15.8980
89485,45.9609,15.7300
89685,45.9142,15.7260
89885,45.8720,15.7220
90085,45.8395,15.7180
90285,45.8082,15.7140
90484,45.7731,15.7100
90684,45.7240,15.5761
90884,45.6679,15.4423
91084,45.6102,15.3084
91284,45.5394,15.1745
91484,45.4564,15.0407
91485,45.4560,15.0400
91685,45.3687,14.7440
91885,45.2506,14.4480
92085,45.1016,14.1520
92285,44.9405,13.8560
92485,44.7940,13.5600
92685,44.7124,13.6600
92885,44.6467,13.7600
93085,44.5744,13.8600
93285,44.5133,13.9600
93485,44.4774,14.0600
93685,44.4558,14.0620
93885,44.4321,14.0640
94085,44.4007,14.0660
94285,44.3677,14.0680
94485,44.3441,14.0700
94685,44.3170,13.9440
94885,44.2963,13.8180
95085,44.2630,13.6920
95285,44.2016,13.5660
95485,44.1017,13.4400
95685,43.9741,13.7063
95885,43.8865,13.9725
96085,43.8643,14.2388
96285,43.8412,14.5051
96484,43.7684,14.7700
96684,43.6753,14.6880
96884,43.5789,14.6060
97084,43.4963,14.5240
97284,43.4240,14.4420
97484,43.3551,14.3600
97684,43.2724,14.4320
97884,43.2014,14.5040
98084,43.1579,14.5760
98284,43.1740,14.6480
98484,43.2299,14.7200
98684,43.3229,14.6701
98884,43.3460,14.6201
99084,43.3092,14.5702
99284,43.2649,14.5202
99484,43.2485,14.4703
99485,43.2485,14.4700
99685,43.1779,14.5000
99885,43.0959,14.5301
100085,43.0131,14.5601
100285,42.9128,14.5901
100484,42.7892,14.6200
100684,42.6476,14.6839
100884,42.5035,14.7479
101084,42.3473,14.8118
101284,42.1674,14.8757
101484,41.9852,14.9397
101485,41.9843,14.9400
101685,41.8321,15.0260
101885,41.6943,15.1120
102085,41.5522,15.1980
102285,41.4083,15.2840
102485,41.2579,15.3700
102685,41.1079,15.4801
102885,40.9500,15.5902
103085,40.7802,15.7003
103285,40.6277,15.8104
103484,40.4835,15.9200
103684,40.3481,15.9919
103884,40.2090,16.0639
104084,40.0627,16.1358
104284,39.8957,16.2077
104484,39.7194,16.2796
104485,39.7185,16.2800
104685,39.5318,16.3561
104885,39.3558,16.4322
105085,39.1911,16.5082
105285,39.0273,16.5843
105484,38.8564,16.6600
105684,38.6757,16.7279
105884,38.4838,16.7959
106084,38.2753,16.8638
106284,38.0489,16.9317
106484,37.8182,16.9997
106485,37.8171,17.0000
106685,37.5883,17.0300
106885,37.3550,17.0600
107085,37.1159,17.0900
107285,36.8926,17.1200
107485,36.6887,17.1500
107685,36.5030,17.2520
107885,36.3196,17.3540
108085,36.1315,17.4560
108285,35.9438,17.5580
108485,35.7668,17.6600
108685,35.5956,17.6860
108885,35.4304,17.7121
109085,35.2780,17.7381
109285,35.1579,17.7641
109484,35.0614,17.7900
109684,34.9732,17.8440
109884,34.8897,17.8980
110084,34.8020,17.9520
110284,34.7018,18.0060
110484,34.5896,18.0600
110684,34.4580,18.1600
110884,34.3128,18.2600
111084,34.1802,18.3600
111284,34.0565,18.4600
111484,33.9330,18.5600
111684,33.8359,18.6619
111884,33.7495,18.7638
112084,33.6641,18.8657
112284,33.5575,18.9676
112484,33.4464,19.0695
112485,33.4458,19.0700
112685,33.3011,19.1880
112885,33.1542,19.3060
113085,33.0229,19.4240
113285,32.9006,19.5420
113485,32.7747,19.6600
113685,32.6676,19.6400
113885,32.5648,19.6200
114085,32.4499,19.6000
114285,32.3137,19.5800
114485,32.1570,19.5600
114685,31.9757,19.4980
114885,31.7719,19.4360
115085,31.5436,19.3740
115285,31.2995,19.3120
115485,31.0441,19.2500
115685,30.7636,19.2420
115885,30.4701,19.2340
116085,30.1634,19.2260
116285,29.8438,19.2180
116485,29.5122,19.2100
116685,29.1670,19.1019
116885,28.8124,18.9938
117085,28.4680,18.8857
117285,28.1443,18.7776
117484,27.8392,18.6700
117684,27.5398,18.6340
117884,27.2295,18.5980
118084,26.9144,18.5620
118284,26.6217,18.5260
118484,26.3449,18.4900
118684,26.0855,18.5380
118884,25.8444,18.5860
119084,25.6015,18.6340
119284,25.3554,18.6820
119484,25.1199,18.7300
119684,24.8967,18.5680
119884,24.6817,18.4060
120084,24.4721,18.2440
120284,24.2718,18.0820
120484,24.0692,17.9200
120684,23.8558,17.7881
120884,23.6462,17.6563
121084,23.4268,17.5244
121284,23.1731,17.3925
121484,22.8958,17.2607
121485,22.8943,17.2600
121685,22.6013,17.2560
121885,22.2880,17.2520
122085,21.9823,17.2480
